CIUDAD;VENDEDOR;FACTURA ;FECHA;CLIENTE ;VALOR SIN IVA;VALOR CON IVA;CREDITO;VENCIMIENTO;FECHA PAGO;RADICACION;LINEA; ESTADO DE LA COMISION;;
MEDELLIN;DAQ;1408;8-oct.-13;INDUSTRIAS HACEB S.A.;121.600;141.056;60;8-dic-13;12-dic.-13;9-oct-13;;PAGADA DICIEMBRE;;
MEDELLIN;DAQ;1409;8-oct.-13;SMURFIT KAPPA CARTÓN DE COLOMBIA;788.200;914.312;30;8-nov-13;9-dic.-13;9-oct-13;;PAGADA DICIEMBRE;;
MEDELLIN;DAQ;1410;8-oct.-13;SMURFIT KAPPA CARTÓN DE COLOMBIA;130.600;151.496;30;8-nov-13;9-dic.-13;9-oct-13;;PAGADA DICIEMBRE;;
BARRANQUILLA;LRL;1411;9-oct.-13;IMPORTADORA AGROINDUSTRIAL LTDA.;55.000;63.800;0;10-oct-13;15-oct.-13;10-oct-13;;PAGADA OCTUBRE;;
;;1412;;ANULADA;;;;;;;;;;
BOGOTA;JGG;1413;9-oct.-13;WEATHERFORD;22.785.000;26.430.600;60;8-dic-13;3-ene.-14;9-oct-13;;PAGADA ENERO;;
BOGOTA;JGG;1414;9-oct.-13;WEATHERFORD;147.575.000;171.187.000;60;8-dic-13;3-ene.-14;9-oct-13;;PAGADA ENERO;;
BOGOTA;JUM;1415;10-oct.-13;ABL INTERNACIONAL S. A.;4.652.000;5.396.320;0;10-oct-13;16-oct.-13;10-oct-13;;PAGADA OCTUBRE;;
MEDELLIN;JGG;1416;10-oct.-13;COLCERAMICA S.A.;172.900;200.564;60;10-dic-13;20-dic.-13;11-oct-13;;PAGADA DICIEMBRE;;
MEDELLIN;DAQ;1417;11-oct.-13;PAPELSA S.A.;254.100;294.756;30;14-nov-13;15-nov.-13;15-oct-13;;PAGADA NOVIEMBRE;;
BOGOTA;JGG;1418;15-oct.-13;COLCERAMICA S.A.;1.385.200;1.606.832;60;14-dic-13;20-dic.-13;15-oct-13;;PAGADA DICIEMBRE;;
MEDELLIN;DAQ;1419;15-oct.-13;CARTON COLOMBIA S.A.;586.200;679.992;60;15-dic-13;3-ene.-14;16-oct-13;;PAGADA ENERO;;
MEDELLIN;JGG;1420;16-oct.-13;COLCERAMICA S.A.;1.402.200;1.626.552;60;16-dic-13;20-dic.-13;17-oct-13;;PAGADA DICIEMBRE;;
MEDELLIN;DAQ;1421;16-oct.-13;PINTUCO COLOMBIA S.A.;2.301.000;2.669.160;30;16-nov-13;14-nov.-13;17-oct-13;;PAGADA NOVIEMBRE;;
